id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
49964381,Beautiful Williamsburg Studio Next to the Bridge,Brooklyn,Williamsburg,40.71039,-73.95965,Entire home/apt,195,30,30,188.0,POINT (-73.95965 40.71039)
49996255,Williamsburg 2 bedroom,Brooklyn,Williamsburg,40.71133,-73.95296,Entire home/apt,115,30,30,,POINT (-73.95296 40.71133)
49938794,The west wing,Brooklyn,Williamsburg,40.71736,-73.95623,Private room,130,1,30,200.0,POINT (-73.95623 40.71736)
50068428,Beautiful Prime Williamsburg 2BR apartment,Brooklyn,Williamsburg,40.71005,-73.95455,Entire home/apt,250,30,30,,POINT (-73.95455 40.71005)
50068502,A Peaceful Nest in Williamsburg,Brooklyn,Williamsburg,40.71024,-73.96355,Entire home/apt,175,14,30,,POINT (-73.96355 40.71024)
50309369,Lovely 3 bedroom apt in Williamsburg,Brooklyn,Williamsburg,40.70743,-73.96251,Entire home/apt,140,30,30,130.0,POINT (-73.96251 40.70743)
50359042,Bedroom at Casa Alvarez,Brooklyn,Williamsburg,40.71119,-73.96413,Private room,199,3,3,174.0,POINT (-73.96413 40.71119)
50363428,Private room in shared artist loft in Williamsburg,Brooklyn,Williamsburg,40.71747,-73.96465,Private room,300,1,30,170.0,POINT (-73.96465 40.71747)
50373097,Single room #8,Brooklyn,Williamsburg,40.71859,-73.95089,Private room,70,30,30,70.0,POINT (-73.95089 40.71859)
50288808,Spacious and Serene East Williamsburg Apartment,Brooklyn,Williamsburg,40.71603,-73.93923,Entire home/apt,189,3,3,207.0,POINT (-73.93923 40.71603)
50504862,SUPERB-2BR*1minTrain*5ms to Manh*15ms Mdtwn!.....,Brooklyn,Williamsburg,40.71623,-73.95234,Entire home/apt,328,30,30,259.0,POINT (-73.95234 40.71623)
50641438,Lovely one bedroom full size bed with patio.,Brooklyn,Williamsburg,40.7067,-73.95539,Private room,90,1,30,155.0,POINT (-73.95539 40.7067)
50574468,Private Room in Cozy Williamsburg Apartment,Brooklyn,Williamsburg,40.71598,-73.94023,Private room,82,1,1,95.0,POINT (-73.94023 40.71598)
50587797,1000Sqft Huge Bright Williamsburg Loft,Brooklyn,Williamsburg,40.71971,-73.96033,Entire home/apt,140,30,30,150.0,POINT (-73.96033 40.71971)
50809342,Beautiful one bedroom apt  in Williamsburg,Brooklyn,Williamsburg,40.71024,-73.96103,Entire home/apt,95,30,30,105.0,POINT (-73.96103 40.71024)
50697485,Williamsburg ground zero apartment,Brooklyn,Williamsburg,40.71666,-73.95862,Entire home/apt,210,4,30,186.0,POINT (-73.95862 40.71666)
