id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
51907377,Quintessential King Suite with a Private Balcony,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,386,1,1,803.0,POINT (-73.9897804 40.7186077)
51789447,Lower Manhattan Cozy,Manhattan,Two Bridges,40.71084944413446,-73.99573374164116,Private room,82,4,30,,POINT (-73.99573374164116 40.71084944413446)
52009700,Luxury Junior Suite +Balcony in Downtown Manhattan,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,320,1,1,475.0,POINT (-73.9897804 40.7186077)
51945222,Untitled at 3 Freeman  - Studio Queen,Manhattan,Lower East Side,40.72082,-73.99152,Entire home/apt,121,1,1,169.0,POINT (-73.99152 40.72082)
52001672,Untitled at 3 Freeman - Large Freeman King (ADA),Manhattan,Lower East Side,40.72076,-73.99132,Entire home/apt,223,1,1,203.0,POINT (-73.99132 40.72076)
52002317,HUGE ROOM IN IDEAL LES SPOT,Manhattan,Lower East Side,40.71468,-73.98874,Private room,90,6,5,123.0,POINT (-73.98874 40.71468)
52172527,Deluxe Double Queen in lively downtown Manhattan,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,260,1,1,407.0,POINT (-73.9897804 40.7186077)
52172540,Superior King + S/Balcony in downtown Manhattan,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,227,1,1,296.0,POINT (-73.9897804 40.7186077)
52172548,Superior King in downtown Manhattan,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,156,1,1,249.0,POINT (-73.9897804 40.7186077)
52181849,"Sohotel, Jr Suite King",Manhattan,Lower East Side,40.7183,-73.99359,Private room,353,1,1,,POINT (-73.99359 40.7183)
52211971,Legal Modern LES 1 Bedroom with Laundry! #10349,Manhattan,Lower East Side,40.72102,-73.9888,Entire home/apt,223,30,30,197.0,POINT (-73.9888 40.72102)
52453861,☆Newly Updated True 2bd Apt in the Heart of LES☆,Manhattan,Lower East Side,40.721771,-73.987381,Entire home/apt,450,4,30,450.0,POINT (-73.987381 40.721771)
52551120,Large Studio in the heart of LES #8,Manhattan,Lower East Side,40.72107,-73.99284,Entire home/apt,110,30,30,100.0,POINT (-73.99284 40.72107)
52491515,Cozy 3 bedroom apt in the heart of Lower East Side,Manhattan,Lower East Side,40.71733,-73.99111,Entire home/apt,125,30,30,130.0,POINT (-73.99111 40.71733)
52551973,Newly Renovated Artist Loft 1 Bedroom Apt LES #2,Manhattan,Lower East Side,40.72125,-73.99319,Entire home/apt,100,30,30,125.0,POINT (-73.99319 40.72125)
52552429,Lower East Side Studio Escape #4,Manhattan,Lower East Side,40.72273,-73.99108,Entire home/apt,100,30,30,120.0,POINT (-73.99108 40.72273)
52552638,Lovely 3 Bedroom Apartment in LES #6,Manhattan,Lower East Side,40.72067,-73.99202,Entire home/apt,231,30,30,200.0,POINT (-73.99202 40.72067)
52822869,Centrally Located Private Bedroom with Bathroom,Manhattan,Chinatown,40.7162,-73.99322,Private room,114,2,30,119.0,POINT (-73.99322 40.7162)
52920789,70s designer studio in the East Village,Manhattan,Lower East Side,40.72083,-73.98281,Entire home/apt,286,1,30,215.0,POINT (-73.98281 40.72083)
53022508,Lovely 2 Bedroom Apartment in LES #Apt 7,Manhattan,Lower East Side,40.72273,-73.99171,Entire home/apt,145,30,30,150.0,POINT (-73.99171 40.72273)
53022671,Untitled at 3 Freeman - Double Bunk,Manhattan,Lower East Side,40.72259,-73.99141,Entire home/apt,216,1,1,215.0,POINT (-73.99141 40.72259)
53132475,Untitled at 3 Freeman - Studio Mini,Manhattan,Lower East Side,40.72083,-73.99279,Entire home/apt,111,1,1,146.0,POINT (-73.99279 40.72083)
53216577,Lovely one bedroom Apt in New York,Manhattan,Lower East Side,40.72022,-73.98708,Entire home/apt,275,6,30,275.0,POINT (-73.98708 40.72022)
53398202,Spacious two bedroom apartment in Two Bridges,Manhattan,Two Bridges,40.71154,-73.99333,Entire home/apt,127,3,30,100.0,POINT (-73.99333 40.71154)
53410940,Untitled at 3 Freeman - Large Freeman King,Manhattan,Lower East Side,40.72296,-73.99299,Entire home/apt,221,1,1,203.0,POINT (-73.99299 40.72296)
53489560,Cozy Studio in the LES Apt #9,Manhattan,Lower East Side,40.72095,-73.99294,Entire home/apt,120,30,30,150.0,POINT (-73.99294 40.72095)
53587742,Spacious 1 bedroom apartment with balcony,Manhattan,Lower East Side,40.7191,-73.98276,Entire home/apt,195,3,30,,POINT (-73.98276 40.7191)
53874828,Lower East Side- Perfect 1 Bedroom! #12,Manhattan,Lower East Side,40.72281,-73.99202,Entire home/apt,107,30,30,120.0,POINT (-73.99202 40.72281)
53875417,Lower East Side - Lovely Studio! #14,Manhattan,Lower East Side,40.7207,-73.99299,Entire home/apt,114,29,30,100.0,POINT (-73.99299 40.7207)
53875954,Lower East Side Studio - Great location! #13,Manhattan,Lower East Side,40.72122,-73.9932,Entire home/apt,110,28,30,110.0,POINT (-73.9932 40.72122)
555056971119508988,138 Bowery-Studio in Little Italy,Manhattan,Lower East Side,40.71812,-73.99371,Entire home/apt,120,30,30,130.0,POINT (-73.99371 40.71812)
568782483385919603,Glamorous 1 bd/1 bath Condo in Lower East Side,Manhattan,Chinatown,40.71585,-73.99039,Entire home/apt,212,2,30,170.0,POINT (-73.99039 40.71585)
567166736329761635,3 BR 1830 Historic Merchant House LES on the park,Manhattan,Lower East Side,40.71284,-73.98969,Entire home/apt,500,2,30,400.0,POINT (-73.98969 40.71284)
574847531718440079,Super cosy and charming apartment,Manhattan,Lower East Side,40.720062,-73.984825,Private room,104,1,30,98.0,POINT (-73.984825 40.720062)
582525816928227231,lovely 1 Private Room available,Manhattan,Lower East Side,40.71956,-73.99373,Private room,90,2,30,135.0,POINT (-73.99373 40.71956)
580271592654434952,"Beautiful LES 1BR w/ W/D, nr SoHo",Manhattan,Chinatown,40.7170794,-73.9932237,Entire home/apt,236,31,31,218.0,POINT (-73.9932237 40.7170794)
584183482083983017,One Bed in Two Bridges - Authentic NYC Experience,Manhattan,Two Bridges,40.71229,-73.99366,Entire home/apt,205,3,30,,POINT (-73.99366 40.71229)
587207524120016838,RARE: 6 Bedroom / 2 Bath Apt in Prime LES Location,Manhattan,Chinatown,40.71531,-73.99092,Entire home/apt,296,3,30,621.0,POINT (-73.99092 40.71531)
597304555711876002,"Great 3 bedroom apt, downtown Manhattan .",Manhattan,Chinatown,40.71468,-73.99097,Entire home/apt,200,30,30,220.0,POINT (-73.99097 40.71468)
594978188146529787,Queen room in the City,Manhattan,Chinatown,40.7134,-73.9964,Private room,98,2,31,135.0,POINT (-73.9964 40.7134)
594978227209109001,Lovely QUEEN room in the City,Manhattan,Chinatown,40.71301,-73.99594,Private room,120,2,30,120.0,POINT (-73.99594 40.71301)
601383847863781109,Práctico duplex en lower Manhattan,Manhattan,Chinatown,40.71453,-73.99112,Entire home/apt,115,30,30,111.0,POINT (-73.99112 40.71453)
601387378295632609,Gran ubicación  y cómodo apt en lower Manhattan,Manhattan,Lower East Side,40.713,-73.99231,Entire home/apt,75,30,30,93.0,POINT (-73.99231 40.713)
601395300140040942,Apartamento hermoso en lower Manhattan,Manhattan,Lower East Side,40.71314,-73.99226,Entire home/apt,120,30,30,125.0,POINT (-73.99226 40.71314)
609356519119494681,Rustic LES Semi-Duplex In Prime Location,Manhattan,Lower East Side,40.721,-73.98723,Entire home/apt,158,3,4,275.0,POINT (-73.98723 40.721)
613217295481896760,Amazing unique large 2 floor duplex LOFT on LES,Manhattan,Lower East Side,40.71342,-73.98043,Entire home/apt,210,30,30,,POINT (-73.98043 40.71342)
619354374288622502,"3 bedroom apt, Duplex, lower Manhattan. 1.5 bath",Manhattan,Lower East Side,40.71328,-73.99054,Entire home/apt,187,30,30,140.0,POINT (-73.99054 40.71328)
620217047471866399,New stylish Entire 2 Bedroom Apt at Downtown Manha,Manhattan,Two Bridges,40.71235,-73.99642,Entire home/apt,180,85,105,195.0,POINT (-73.99642 40.71235)
626177015848231393,STUDIO IN NOLITA -Heart of Downtown NYC,Manhattan,Lower East Side,40.72027,-73.99257,Entire home/apt,400,10,30,280.0,POINT (-73.99257 40.72027)
627371470100795624,2 BDRM penthouse in the heart of the LES,Manhattan,Lower East Side,40.72235,-73.98797,Entire home/apt,350,2,30,489.0,POINT (-73.98797 40.72235)
627430327536180331,Modern 2-bed condo with terrace in New York,Manhattan,Lower East Side,40.71988,-73.99231,Entire home/apt,234,30,30,,POINT (-73.99231 40.71988)
629964135068695094,RARE: KING 1.5 BR APARTMENT IN PRIME EV LOCATION,Manhattan,Lower East Side,40.72209,-73.98593,Entire home/apt,420,6,30,209.0,POINT (-73.98593 40.72209)
630127601876610614,"LES 1BR w/ Elevator, W/D & Roof, nr parks",Manhattan,Lower East Side,40.71968,-73.98333,Entire home/apt,251,31,31,269.0,POINT (-73.98333 40.71968)
630137679168876359,"Amazing LES 1BR w/ W/D, nr parks",Manhattan,Lower East Side,40.7184301,-73.9926727,Entire home/apt,230,31,31,198.0,POINT (-73.9926727 40.7184301)
640563031447363952,Lovely 2 Bedrooms 2 Bath apartment in the LES,Manhattan,Chinatown,40.71552,-73.99002,Entire home/apt,370,4,30,,POINT (-73.99002 40.71552)
646115947890871926,"LES 2BR w/ Elevator, W/D & Roof, nr parks",Manhattan,Lower East Side,40.71968,-73.98333,Entire home/apt,303,31,31,308.0,POINT (-73.98333 40.71968)
651141070866801705,"Sunlit LES 1BR w/ W/D, nr B/D train",Manhattan,Chinatown,40.717139,-73.993163,Entire home/apt,228,31,31,242.0,POINT (-73.993163 40.717139)
656292512767358715,"LES 1BR w/ W/D, nr B/D Train & Park",Manhattan,Chinatown,40.717139,-73.993163,Entire home/apt,230,31,31,283.0,POINT (-73.993163 40.717139)
664636470226614123,Nyc penthouse 3 br with 2 balcony stunning views,Manhattan,Lower East Side,40.7193331,-73.98946289999999,Entire home/apt,1271,3,30,1100.0,POINT (-73.98946289999999 40.7193331)
666708304495128651,Gorgeous 1Bed w/privet terrace,Manhattan,Lower East Side,40.72047,-73.99032,Entire home/apt,250,30,30,283.0,POINT (-73.99032 40.72047)
667962689671524076,Quaint 1br in the heart of LES,Manhattan,Lower East Side,40.71168,-73.99163,Entire home/apt,133,14,30,133.0,POINT (-73.99163 40.71168)
670102190016233630,Rare 1 Bedroom Apt in Downtown Lower East Side,Manhattan,Lower East Side,40.7198,-73.99007,Entire home/apt,148,3,30,95.0,POINT (-73.99007 40.7198)
697660780570660717,Artsy 1 bedroom home in the Lower East Side,Manhattan,Lower East Side,40.71776,-73.9892,Entire home/apt,249,2,30,,POINT (-73.9892 40.71776)
